TIME, CURRENT
0, 0.03
0.01, 0.0271451
0.02, 0.0245619
0.03, 0.0222245
0.04, 0.0201096
0.05, 0.0181959
0.06, 0.0164643
0.07, 0.0148976
0.08, 0.0134799
0.09, 0.0121971
0.1, 0.0110364
0.11, 0.00998613
0.12, 0.00903583
0.13, 0.00817595
0.14, 0.00739791
0.15, 0.0066939
0.16, 0.0060569
0.17, 0.00548051
0.18, 0.00495897
0.19, 0.00448706
0.2, 0.00406006
0.21, 0.00367369
0.22, 0.00332409
0.23, 0.00300777
0.24, 0.00272154
0.25, 0.00246255
0.26, 0.00222821
0.27, 0.00201617
0.28, 0.0018243
0.29, 0.0016507
0.3, 0.00149361
0.31, 0.00135148
0.32, 0.00122287
0.33, 0.0011065
0.34, 0.0010012
0.35, 0.000905922
0.36, 0.000819712
0.37, 0.000741706
0.38, 0.000671123
0.39, 0.000607257
0.4, 0.000549469
0.41, 0.00049718
0.42, 0.000449867
0.43, 0.000407057
0.44, 0.00036832
0.45, 0.00033327
0.46, 0.000301555
0.47, 0.000272858
0.48, 0.000246892
0.49, 0.000223397
0.5, 0.000202138
0.51, 0.000182902
0.52, 0.000165497
0.53, 0.000149748
0.54, 0.000135497
0.55, 0.000122603
0.56, 0.000110936
0.57, 0.000100379
0.58, 9.08266e-05
0.59, 8.21833e-05
0.6, 7.43626e-05
0.61, 6.7286e-05
0.62, 6.08829e-05
0.63, 5.50891e-05
0.64, 4.98467e-05
0.65, 4.51032e-05
0.66, 4.0811e-05
0.67, 3.69274e-05
0.68, 3.34133e-05
0.69, 3.02336e-05
0.7, 2.73565e-05
0.71, 2.47531e-05
0.72, 2.23976e-05
0.73, 2.02662e-05
0.74, 1.83376e-05
0.75, 1.65925e-05
0.76, 1.50135e-05
0.77, 1.35848e-05
0.78, 1.2292e-05
0.79, 1.11223e-05
0.8, 1.00639e-05
0.81, 9.10617e-06
0.82, 8.23961e-06
0.83, 7.4555e-06
0.84, 6.74602e-06
0.85, 6.10405e-06
0.86, 5.52317e-06
0.87, 4.99757e-06
0.88, 4.52199e-06
0.89, 4.09167e-06
0.9, 3.70229e-06
0.91, 3.34997e-06
0.92, 3.03118e-06
0.93, 2.74273e-06
0.94, 2.48172e-06
0.95, 2.24555e-06
0.96, 2.03186e-06
0.97, 1.8385e-06
0.98, 1.66355e-06
0.99, 1.50524e-06
1, 1.362e-06
1.01, 1.23239e-06
1.02, 1.11511e-06
1.03, 1.00899e-06
1.04, 9.12974e-07
1.05, 8.26093e-07
1.06, 7.4748e-07
1.07, 6.76348e-07
1.08, 6.11985e-07
1.09, 5.53747e-07
1.1, 5.01051e-07
1.11, 4.5337e-07
1.12, 4.10226e-07
1.13, 3.71188e-07
1.14, 3.35865e-07
1.15, 3.03903e-07
1.16, 2.74983e-07
1.17, 2.48815e-07
1.18, 2.25137e-07
1.19, 2.03712e-07
1.2, 1.84326e-07
1.21, 1.66785e-07
1.22, 1.50914e-07
1.23, 1.36552e-07
1.24, 1.23558e-07
1.25, 1.118e-07
1.26, 1.0116e-07
1.27, 9.15338e-08
1.28, 8.28232e-08
1.29, 7.49415e-08
1.3, 6.78099e-08
1.31, 6.13569e-08
1.32, 5.5518e-08
1.33, 5.02348e-08
1.34, 4.54543e-08
1.35, 4.11288e-08
1.36, 3.72149e-08
1.37, 3.36734e-08
1.38, 3.04689e-08
1.39, 2.75694e-08
1.4, 2.49459e-08
1.41, 2.25719e-08
1.42, 2.04239e-08
1.43, 1.84803e-08
1.44, 1.67217e-08
1.45, 1.51304e-08
1.46, 1.36906e-08
1.47, 1.23877e-08
1.48, 1.12089e-08
1.49, 1.01422e-08
1.5, 9.17707e-09
1.51, 8.30376e-09
1.52, 7.51355e-09
1.53, 6.79854e-09
1.54, 6.15157e-09
1.55, 5.56617e-09
1.56, 5.03648e-09
1.57, 4.5572e-09
1.58, 4.12352e-09
1.59, 3.73112e-09
1.6, 3.37606e-09
1.61, 3.05478e-09
1.62, 2.76408e-09
1.63, 2.50104e-09
1.64, 2.26304e-09
1.65, 2.04768e-09
1.66, 1.85282e-09
1.67, 1.6765e-09
1.68, 1.51696e-09
1.69, 1.3726e-09
1.7, 1.24198e-09
1.71, 1.12379e-09
1.72, 1.01685e-09
1.73, 9.20082e-10
1.74, 8.32525e-10
1.75, 7.533e-10
1.76, 6.81614e-10
1.77, 6.1675e-10
1.78, 5.58058e-10
1.79, 5.04952e-10
1.8, 4.56899e-10
1.81, 4.1342e-10
1.82, 3.74078e-10
1.83, 3.38479e-10
1.84, 3.06269e-10
1.85, 2.77123e-10
1.86, 2.50752e-10
1.87, 2.2689e-10
1.88, 2.05298e-10
1.89, 1.85761e-10
1.9, 1.68084e-10
1.91, 1.52089e-10
1.92, 1.37615e-10
1.93, 1.2452e-10
1.94, 1.1267e-10
1.95, 1.01948e-10
1.96, 9.22464e-11
1.97, 8.3468e-11
1.98, 7.5525e-11
1.99, 6.83378e-11
2, 6.18346e-11
2.01, 5.59503e-11
2.02, 5.06259e-11
2.03, 4.58082e-11
2.04, 4.1449e-11
2.05, 3.75046e-11
2.06, 3.39356e-11
2.07, 3.07062e-11
2.08, 2.77841e-11
2.09, 2.51401e-11
2.1, 2.27477e-11
2.11, 2.0583e-11
2.12, 1.86242e-11
2.13, 1.68519e-11
2.14, 1.52482e-11
2.15, 1.37972e-11
2.16, 1.24842e-11
2.17, 1.12962e-11
2.18, 1.02212e-11
2.19, 9.24852e-12
2.2, 8.3684e-12
2.21, 7.57205e-12
2.22, 6.85147e-12
2.23, 6.19947e-12
2.24, 5.60951e-12
2.25, 5.07569e-12
2.26, 4.59268e-12
2.27, 4.15563e-12
2.28, 3.76017e-12
2.29, 3.40234e-12
2.3, 3.07856e-12
2.31, 2.7856e-12
2.32, 2.52051e-12
2.33, 2.28066e-12
2.34, 2.06362e-12
2.35, 1.86724e-12
2.36, 1.68955e-12
2.37, 1.52877e-12
2.38, 1.38329e-12
2.39, 1.25165e-12
2.4, 1.13254e-12
2.41, 1.02476e-12
2.42, 9.27246e-13
2.43, 8.39007e-13
2.44, 7.59165e-13
2.45, 6.8692e-13
2.46, 6.21551e-13
2.47, 5.62403e-13
2.48, 5.08883e-13
2.49, 4.60457e-13
2.5, 4.16638e-13
2.51, 3.7699e-13
2.52, 3.41115e-13
2.53, 3.08653e-13
2.54, 2.79281e-13
2.55, 2.52704e-13
2.56, 2.28656e-13
2.57, 2.06896e-13
2.58, 1.87208e-13
2.59, 1.69392e-13
2.6, 1.53273e-13
2.61, 1.38687e-13
2.62, 1.25489e-13
2.63, 1.13547e-13
2.64, 1.02742e-13
2.65, 9.29646e-14
2.66, 8.41178e-14
2.67, 7.6113e-14
2.68, 6.88699e-14
2.69, 6.2316e-14
2.7, 5.63859e-14
2.71, 5.102e-14
2.72, 4.61648e-14
2.73, 4.17717e-14
2.74, 3.77966e-14
